2021-12-01 12:24:17 status unpacked libnvidia-cfg1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:17 status half-installed libnvidia-cfg1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:17 status unpacked libnvidia-cfg1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 startup packages configure
2021-12-01 12:24:17 configure libnvidia-cfg1-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:17 status unpacked libnvidia-cfg1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status half-configured libnvidia-cfg1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status installed libnvidia-cfg1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 configure xserver-xorg-video-nvidia-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:17 status unpacked xserver-xorg-video-nvidia-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status half-configured xserver-xorg-video-nvidia-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status installed xserver-xorg-video-nvidia-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:24:17 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:17 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:21 startup archives unpack
2021-12-01 12:24:21 upgrade libnvidia-common-470:all 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:21 status half-configured libnvidia-common-470:all 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:21 status unpacked libnvidia-common-470:all 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:21 status half-installed libnvidia-common-470:all 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:21 status unpacked libnvidia-common-470:all 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:21 startup packages configure
2021-12-01 12:24:21 configure libnvidia-common-470:all 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:21 status unpacked libnvidia-common-470:all 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:21 status half-configured libnvidia-common-470:all 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:21 status installed libnvidia-common-470:all 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:25 startup archives unpack
